anho;mes;idprovincia;provincia;e;evap;glo;hr;inso;n_cub;n_des;n_fog;n_gra;n_llu;n_nie;n_nub;np_001;np_010;np_100;np_300;nt_00;nt_30;n_tor;nv_0050;nv_0100;nv_1000;nw_55;nw_91;p_max;p_mes;p_sol;q_mar;q_max;q_med;q_min;ta_max;ta_min;ti_max;tm_max;tm_mes;tm_min;ts_10;ts_20;ts_50;ts_min;w_med;w_rec
2004;9;1;ARABA/ALAVA;154;1179;43852;76;6.1;9;1;11;0;12;0;20;10;6;3;1;0;1;6;0;0;3;2;0;44.2;107;49;1020.2;969.4;961.6;952.6;32.8;4.4;16.9;23.2;17.4;11.5;19.7;19.4;19.5;19.2;7;152
2004;10;1;ARABA/ALAVA;118;1067;28450;72;4.6;11;1;5;0;18;0;19;13;9;1;0;0;0;1;0;0;4;3;0;15.9;35.9;42;1012;965.3;953.1;937.5;29.3;3;11.7;19.4;14.4;9.4;15.7;15.4;15.8;15.2;9;192
2004;11;1;ARABA/ALAVA;87;426;15467;86;2.5;15;0;8;0;17;0;15;16;7;4;0;7;0;0;0;0;5;1;0;28;80.3;26;1023.9;972.3;962.8;945.5;16.9;-1.4;5.5;10.2;7;3.7;9.2;9.1;9.6;9.5;6;157
2004;12;1;ARABA/ALAVA;83;353;9595;87;1.3;21;0;6;0;21;3;10;19;14;3;0;5;0;0;0;0;4;0;0;25.6;113.1;14;1022.8;975;961.5;939.5;13.5;-1.2;2.6;8.4;5.7;2.9;7.3;6.6;7;7.3;7;166
2005;1;1;ARABA/ALAVA;72;270;17843;87;3.1;10;2;9;0;12;7;19;17;10;2;0;17;0;0;0;0;5;2;0;12.5;53.1;33;1029.7;979;967.5;956.1;14;-5.2;-1.5;7.4;3.9;0.4;6;5.1;-9999;7.9;8;204
2005;2;1;ARABA/ALAVA;63;164;21836;83;3.6;15;1;5;0;7;13;12;18;11;4;0;20;0;0;0;0;3;2;0;26.1;95.9;34;1022.6;977.7;960.5;938.7;13.8;-8.2;-1.5;6.3;2.4;-1.6;4.2;4;4.3;3.8;9;191
2005;3;1;ARABA/ALAVA;75;1028;45581;67;6.4;6;6;4;0;6;5;19;11;7;1;1;13;0;1;0;0;3;0;0;30.4;48.1;53;1018.4;971;957.9;944.2;24;-9;2.3;14.5;7.6;0.7;8.8;7.9;7.4;11.5;8;169
2005;4;1;ARABA/ALAVA;98;954;43574;74;5.5;13;1;3;0;18;2;16;20;15;4;0;0;0;5;0;0;1;2;0;15.3;99;40;1016.5;969.5;956.7;946.2;28.2;0.6;5;16.2;10.6;5;12.4;11.5;11.1;13.6;9;192
2005;5;1;ARABA/ALAVA;121;1277;60470;68;7.6;11;2;2;0;11;0;18;9;8;1;1;0;2;5;0;0;2;0;0;41.8;73.5;52;1017.1;968.2;958.3;948.6;30.7;1.4;12;21.3;14.8;8.3;17.6;16.9;16.2;12.2;8;162
2005;6;1;ARABA/ALAVA;161;1491;67498;67;9.2;5;3;2;1;8;0;22;8;4;1;0;0;9;8;0;0;1;2;0;12.5;25.1;60;1016.9;967.8;959;947.1;36;4.2;16.6;26.8;18.9;11;22.8;21.2;20;17.8;8;172
2005;7;1;ARABA/ALAVA;158;2106;69180;65;9.6;4;7;0;0;5;0;20;1;1;0;0;0;10;0;0;0;0;1;0;1.6;1.6;64;1017.3;969;959.5;949.7;36.2;5.8;17.8;26.9;19.2;11.5;24.7;23.5;22.4;17.8;8;183
2005;8;1;ARABA/ALAVA;162;1691;56399;72;8.1;8;3;4;0;10;0;20;10;3;1;0;0;5;3;0;0;4;0;0;13.2;23;58;1018.4;968.5;960.2;947.9;32.6;5;17;25.2;18.2;11.1;22;21.7;21.2;16.8;8;169
2005;9;1;ARABA/ALAVA;142;1349;47648;73;6.9;4;4;5;0;12;0;22;8;4;1;0;0;3;0;0;0;4;0;0;11.4;19.7;55;1018.9;969.4;960.2;949.9;34.6;0.8;15;23.3;16.3;9.3;19.7;19.5;19.6;15.8;7;153
2005;10;1;ARABA/ALAVA;131;1139;34523;79;5.9;8;2;3;0;16;0;21;16;11;3;1;0;0;2;0;0;2;2;0;34.7;99.7;54;1017;968.2;957.9;950.3;25.5;1.5;13;19.8;14.1;8.3;16;15.5;15.8;14.2;8;191
2005;11;1;ARABA/ALAVA;92;501;16794;87;3.3;15;0;4;0;14;3;15;17;13;7;0;8;0;0;0;0;4;0;0;25.1;142.7;33;1019;975.9;958.3;939.4;18.3;-1.4;1.6;11;7.1;3.1;9.5;9.7;10.6;11.2;7;170
2005;12;1;ARABA/ALAVA;72;406;13339;89;2.1;14;1;8;0;16;2;16;16;11;2;1;14;0;0;0;0;5;1;0;35.3;94.7;23;1022.3;972.2;960.4;936.1;13;-8;-0.4;6.5;3.2;-0.3;4.9;5;6;6.5;7;170
2006;1;1;ARABA/ALAVA;75;236;12934;89;1.8;19;1;6;0;17;4;11;13;8;1;0;14;0;0;0;0;1;0;0;14.7;41.4;19;1022.7;970.3;961;948.6;11;-9.5;0.7;7.1;3.9;0.6;5.1;5;5.6;6.4;6;124
2006;2;1;ARABA/ALAVA;66;565;21030;79;3.9;12;1;7;0;9;4;15;10;8;0;0;16;0;0;0;0;5;3;0;8.2;32.5;37;1017;968.3;955.7;936.1;17.4;-5;3.5;8.9;4.1;-0.7;5.2;4.8;5;6;8;188
2006;3;1;ARABA/ALAVA;93;1100;35071;74;4.7;12;0;2;0;15;3;19;16;12;3;0;5;0;0;0;0;1;7;0;20.8;86.1;39;1014.1;969.3;954.2;937;23.9;-1.4;5.7;15;9.9;4.8;10.1;9.7;8.6;12.8;13;253
2006;4;1;ARABA/ALAVA;104;958;44545;75;5.7;11;0;2;0;15;0;19;9;6;1;0;3;0;3;0;0;1;0;0;12;33.1;43;1016.4;964.6;956.7;944.2;23.5;-2;9.5;16.7;10.7;4.7;14;13.4;13.1;10.6;8;168
2006;5;1;ARABA/ALAVA;132;1442;61496;71;7.5;11;0;3;0;12;0;20;8;2;1;0;2;0;4;0;0;1;1;0;17.1;25.5;51;1017.8;969.8;959;945.1;29.9;-1.1;14.2;21.7;14.8;8;18.4;-9999;-9999;13.5;8;170
2006;6;1;ARABA/ALAVA;162;2002;62919;70;7.5;11;3;2;0;9;0;16;7;6;3;0;0;6;9;0;0;0;0;0;25.6;73;49;1017.4;967.8;959.4;952.9;33;2.9;18.5;25.4;18.6;11.8;21.8;21.1;19.9;17.7;8;176
2006;7;1;ARABA/ALAVA;209;1556;66437;76;8.4;5;0;2;0;7;0;26;5;4;1;0;0;11;7;0;0;2;2;0;11.9;26;56;1017.5;967.1;960.1;954.6;36.5;11.3;21.8;28.5;22;15.5;25.5;24.4;22.8;19;7;156
2006;8;1;ARABA/ALAVA;147;1779;57267;69;8.5;2;1;1;0;10;0;28;7;3;0;0;0;1;0;0;0;2;2;0;3.7;7;61;1017.4;968.3;959.1;945.1;31.5;5.8;18.1;23.6;17.3;11;21.2;20.7;20.3;15.6;8;170
2006;9;1;ARABA/ALAVA;150;1325;41749;69;6.1;5;3;5;0;17;0;22;12;7;1;0;0;8;4;0;0;4;1;0;20.7;47.4;48;1014.7;967.4;956.7;946.2;35.2;7.3;16;25.3;18.4;11.4;21;20.5;20.2;16.5;6;139
2006;10;1;ARABA/ALAVA;135;1189;30300;75;5.1;8;2;5;0;16;0;21;15;12;2;0;0;0;2;0;0;3;6;0;13.7;51.7;47;1014;969.7;955.3;939.3;27;5;15.6;21.2;15.8;10.3;17.1;16.9;16.8;16;8;189
2006;11;1;ARABA/ALAVA;107;852;18353;79;3.4;12;1;6;0;14;0;17;12;8;1;1;1;0;0;0;0;5;5;0;38.9;57.4;35;1020.1;972.3;960.1;932.1;20;-0.3;11.5;15.2;10.8;6.4;12.3;12.3;13;11.7;8;185
2006;12;1;ARABA/ALAVA;73;426;14789;82;3.1;12;4;7;0;13;0;15;13;9;2;0;19;0;0;0;0;4;1;0;15;48.4;34;1027.7;975.9;965.8;944.5;18.4;-5.5;2.2;8.8;4.3;-0.1;6.1;6.2;7.5;12;7;151
2007;1;1;ARABA/ALAVA;78;359;17836;85;3.1;12;2;11;0;7;4;17;10;6;3;0;15;0;0;0;0;6;0;0;15.5;55.2;33;1028;979;965.9;942.5;17;-9.5;0;9.4;4.9;0.3;6.4;6.2;6.7;9.4;7;155
2007;2;1;ARABA/ALAVA;84;813;20735;77;3.5;15;0;6;0;21;0;13;19;15;2;1;7;0;0;0;0;2;10;0;30.6;100.6;33;1017;969;956.5;942.3;17.8;-3;5.2;12.7;8.1;3.4;8.7;8;7.7;10.5;14;332
2007;3;1;ARABA/ALAVA;79;755;32353;77;3.7;16;1;4;0;14;4;14;18;13;5;3;10;0;4;0;0;4;8;1;32.7;169.5;32;1021.1;978.5;960.1;949.1;23;-2.6;2.8;11.9;6.9;1.8;9.4;8.8;8.8;12.2;14;306
2007;4;1;ARABA/ALAVA;110;850;41404;77;4.9;18;0;7;0;20;0;12;19;12;3;0;1;0;7;0;0;6;0;0;21.7;82.6;37;1017.2;964.1;957.6;951.1;27;-1;7.8;17.8;11.8;5.7;14.6;13.2;12.1;10.5;10;198
2007;5;1;ARABA/ALAVA;123;1196;54687;75;6.2;13;1;4;0;17;0;17;16;12;1;0;0;0;4;0;0;4;3;0;19.4;68.5;43;1016.4;969.7;957.3;947.5;27.4;2.6;11.1;19.1;13.5;7.9;17.4;16.4;15.5;13.5;14;271
2007;6;1;ARABA/ALAVA;149;1263;60415;72;7.8;8;0;4;1;12;0;22;8;4;1;0;0;2;5;0;0;2;3;0;19.5;29;51;1014.8;966.9;956.5;947.3;31.6;5.6;15;23.3;16.9;10.4;20.8;19.6;18.4;15.2;14;265
2007;7;1;ARABA/ALAVA;146;1557;70836;64;9.2;5;6;2;0;8;0;20;5;1;0;0;0;6;1;0;0;2;1;0;2.1;4.6;62;1017.2;966.6;959.2;945.5;35.9;6;18.5;25.7;18.5;11.2;23.6;22.3;20.7;16;15;292
2007;8;1;ARABA/ALAVA;149;1371;52993;69;7.4;9;2;2;0;14;0;20;13;7;2;0;0;8;1;0;0;1;3;0;12.8;43.2;53;1016.8;966.1;958.6;950.3;36.3;5.2;16;24.7;18;11.2;22.4;21.7;20.8;17.3;13;270
2007;9;1;ARABA/ALAVA;134;954;44332;73;6.8;6;3;2;0;11;0;21;10;7;0;0;0;0;3;0;0;2;1;0;7.2;23;54;1020.3;966.1;961.3;952.2;28.7;2;11.8;21.7;15.6;9.6;20;19.5;19;14.8;12;247
2007;10;1;ARABA/ALAVA;120;504;28596;82;4.7;12;2;12;0;12;0;17;11;9;3;0;2;0;1;0;0;6;0;0;12;63.8;42;1021.5;969.1;961.7;953.5;24.6;-0.6;9.4;17;12.1;7;15;14.9;15.3;14;8;180
2007;11;1;ARABA/ALAVA;82;443;18116;81;3.1;12;3;6;0;14;0;15;9;6;0;0;8;0;0;0;0;3;0;0;9.1;26;31;1023;972.5;961.8;940.6;15.2;-8.5;6.2;11.2;6.7;2.1;8.8;9;10.1;8.4;9;214
