"anho","mes","idprovincia","nombre","numero_de_incendios","superficie_total_quemada","sup_total_arbolada","sup_total_desarbolada","naturales_casos","naturales_total_arbolada","naturales_total_noarboalda","antropicos_casos","sup_antropicos_total_arbolada","sup_antropicos_total_noarbolada","e","hr","n_fog","n_gra","n_llu","n_nie","np_001","np_010","np_100","np_300","nt_00","nt_30","n_tor","nw_55","nw_91","p_max","p_mes","q_mar","q_max","q_med","q_min","ta_max","ta_min","ti_max","tm_max","tm_mes","tm_min","ts_min","w_med","tasa_de_paro"
2002,1,38,"S.C. TENERIFE",1,1.5,1.5,0,0,0,0,1,1.5,0,132.5,68,4.43333333333333,0,24.4333333333333,0,22.8666666666667,15.2333333333333,3.33333333333333,0.966666666666667,0,0,2.76666666666667,12.7666666666667,0,21.77,45.34,102.208,97.188,96.465,95.03,25.27,12.7,18.68,21.63,18.58,15.52,18.23,12.71,11.0498687664042
2002,1,39,"CANTABRIA",197,5591.74,623.39,4968.35,0,0,0,197,623.39,4968.35,98.5,70.5,0,0,46.6666666666667,0,36.6666666666667,30,1.66666666666667,0,0,0,1.66666666666667,33.3333333333333,0,10.95,45.1,102.425,102.98,102.065,99.785,19.5,3.2,12.4,15.45,11.65,7.85,12.3,13.33,9.51760104302477
2002,1,40,"SEGOVIA",0,0,0,0,0,0,0,0,0,0,54.5,69.5,13.3333333333333,3.33333333333333,36.6666666666667,0,45,31.6666666666667,6.66666666666667,1.66666666666667,51.6666666666667,0,0,33.3333333333333,6.66666666666667,23.6,66.4,102.935,87.425,86.52,85.085,16.55,-4.05,0.2,6.8,3.5,0.15,7.6,12.5,8.50393700787401
2002,1,41,"SEVILLA",0,0,0,0,0,0,0,0,0,0,106,73.5,6.66666666666667,0,21.6666666666667,0,25,15,5.83333333333333,0.833333333333333,1.66666666666667,0,0,5,0,22.73,47.25,102.57,102.57,101.845,100.875,21.6,0.88,11.23,16.03,10.58,5.13,11.78,8.75,20.6129965798474
2002,1,42,"SORIA",1,1.2,0,1.2,0,0,0,1,0,1.2,64,78,33.3333333333333,0,43.3333333333333,6.66666666666667,43.3333333333333,23.3333333333333,0,0,63.3333333333333,0,0,13.3333333333333,0,8.3,31.7,102.72,90.79,90.09,88.62,16.4,-5,4.6,8.8,4.2,-0.3,3.6,9,5.25
2002,1,43,"TARRAGONA",1,0.65,0.2,0.45,0,0,0,1,0.2,0.45,105.67,74.5,11.6666666666667,0,35,0,30,15,5,0,3.33333333333333,0,0,10,0,20.35,38.15,102.665,102.77,101.89,100.27,22,0.15,9.85,14.7,10,5.15,11.35,7.75,10.5847762169226
2002,1,44,"TERUEL",1,0.04,0,0.04,0,0,0,1,0,0.04,68,77,20,0,32.2333333333333,0,32.5,14.1666666666667,1.66666666666667,0,37.5,0,0,1.1,0,9.28,19.4,102.865,92.935,92.29,90.935,19.18,-3.83,4.95,10.9,6.23,1.55,6.35,4.33,4.89236790606654
2002,1,45,"TOLEDO",0,0,0,0,0,0,0,0,0,0,81,81.67,43.3333333333333,0,30,0,50,18.9,4.43333333333333,0,35.5666666666667,0,0,6.66666666666667,1.1,14.53,41.87,102.655,96.12,95.43,94.225,16.07,-3.33,5.3,11.1,6.4,1.67,7.57,9,11.0919292188174
2002,1,46,"VALENCIA",3,0.55,0.08,0.47,0,0,0,3,0.08,0.47,97.5,71.5,0,0,35,0,30.5666666666667,20.5666666666667,3.9,0.566666666666667,10,0,0,2.76666666666667,0,16.65,39.45,102.675,103.065,102.23,100.82,21.58,2.08,10.24,15.12,10.42,5.72,10.32,6.83,11.0767210654661
2002,1,47,"VALLADOLID",2,1.26,0.26,1,0,0,0,2,0.26,1,77,84,40,0,45,0,43.3333333333333,33.3333333333333,4.43333333333333,0,36.6666666666667,0,0,5,0,13.3,43.37,102.68,94.243,93.503,91.91,14.5,-4.7,5.8,9.8,5.53,1.2,6.87,7,14.7668393782383
2002,1,48,"VIZCAYA",18,139.84,71.74,68.1,0,0,0,18,71.74,68.1,84,64,0,0,46.6666666666667,0,41.1,32.2333333333333,4.43333333333333,0,0,0,3.33333333333333,34.4333333333333,1.1,12.67,44.67,102.54,102.95,102.07,99.89,19.4,3.3,9.55,14.05,10.55,7,12.8,11.25,11.4814101329224
2002,1,49,"ZAMORA",4,8.5,0,8.5,0,0,0,4,0,8.5,73.67,83.67,46.6666666666667,0,36.6666666666667,0,36.6666666666667,26.6666666666667,5.56666666666667,0,40,0,0,3.33333333333333,0,22.4,63.73,102.925,94.57,93.795,92.1,13.93,-5.07,2.33,8.73,4.8,0.83,6.57,6,10.1156069364162
2002,1,50,"ZARAGOZA",12,11.41,0.1,11.31,0,0,0,12,0.1,11.31,76.5,78.5,15,0,33.3333333333333,1.66666666666667,26.6666666666667,15.8333333333333,1.66666666666667,0,32.5,0,0,2.5,0,8.3,21.25,102.815,97.455,96.62,94.85,16.9,-3.75,4.08,10.13,5.73,1.28,5.85,7,5.5019556714472
2002,2,1,"ALAVA",7,78.99,1.05,77.94,0,0,0,7,1.05,77.94,81,76,6.66666666666667,3.33333333333333,53.3333333333333,0,43.3333333333333,30,6.66666666666667,0,10,0,3.33333333333333,6.66666666666667,0,14.9,55.8,102.38,97.55,96.29,94.98,17.9,-1.5,4.5,12.2,7.7,3.2,8.2,9,7.96398891966759
2002,2,2,"ALBACETE",9,1.65,1.27,0.38,0,0,0,9,1.27,0.38,65.67,55,3.33333333333333,0,1.66666666666667,0,1.1,1.1,0,0,28.9,0,0,11.6666666666667,0,0.67,0.67,102.43,95.455,94.32,93.28,24.17,-2.67,11.1,17.37,9.73,2,7.8,8.33,6.57627118644067
2002,2,3,"ALICANTE",9,28.47,0.47,28,0,0,0,9,0.47,28,92,61,10,0,0,0,1.66666666666667,0,0,0,0,0,0,6.66666666666667,0,0.1,0.1,102.275,102.63,101.595,100.525,25.1,3.1,14.8,18.8,12.8,6.85,12.1,8.5,9.99851212617171
2002,2,4,"ALMERIA",9,3.7,0,3.7,0,0,0,9,0,3.7,101,63,10,0,3.33333333333333,0,4.16666666666667,0,0,0,0,0,0,5.56666666666667,0,0.15,0.23,102.24,102.98,101.99,100.94,24.5,4.85,12.7,18.58,13.3,7.98,11.65,9.5,10.9448818897638
2002,2,5,"AVILA",31,211.99,4.85,207.14,0,0,0,31,4.85,207.14,65,68,10,0,16.6666666666667,0,10,6.66666666666667,0,0,43.3333333333333,0,0,10,0,3.6,6.7,102.41,90.33,89.37,88.03,18.2,-4.6,3.4,11.3,5.7,0,4.4,10,9.75609756097561
2002,2,6,"BADAJOZ",1,0.12,0.12,0,0,0,0,1,0.12,0,99,73,43.3333333333333,0,16.6666666666667,0,15.5666666666667,6.66666666666667,0,0,5,0,0,1.66666666666667,0,4.9,7.17,102.55,101.21,100.19,98.75,20.63,-1.03,13.18,16.58,10.2,3.78,9.08,6.5,20.7924528301887
2002,2,7,"ILLES BALEARS",6,2.05,0.03,2.02,0,0,0,6,0.03,2.02,97.56,73.56,22.5,0,14.1666666666667,0,18.3333333333333,7.1,0.433333333333333,0.433333333333333,11.4666666666667,0,0,17.6333333333333,3.33333333333333,7.43,10.81,102.203,102.928,101.858,100.77,20.56,2.51,11.02,15.32,10.89,6.42,10.93,11.33,8.95702559150168
2002,2,8,"BARCELONA",23,6.07,1.86,4.21,0,0,0,23,1.86,4.21,82.5,66,10,0,13.3333333333333,0,11.1,8.9,2.23333333333333,0,0,0,5,8.9,0,11.83,17.5,102.085,100.625,99.61,98.325,20.6,4.23,8.83,14.77,11.1,7.37,11.67,13.67,11.1198705447907
2002,2,9,"BURGOS",33,262.7,52.9,209.8,0,0,0,33,52.9,209.8,69,69.33,6.66666666666667,0,43.3333333333333,3.33333333333333,35.5666666666667,16.6666666666667,0,0,18.9,0,3.33333333333333,15.5666666666667,1.1,7.8,21.73,102.45,94.82,93.66,92.295,18.07,-3.13,3.8,11.3,6.63,1.9,6.77,10.67,5.73613766730401
