"anho","mes","idprovincia","nombre","numero_de_incendios","superficie_total_quemada","sup_total_arbolada","sup_total_desarbolada","naturales_casos","naturales_total_arbolada","naturales_total_noarboalda","antropicos_casos","sup_antropicos_total_arbolada","sup_antropicos_total_noarbolada","e","evap","glo","hr","inso","n_cub","n_des","n_fog","n_gra","n_llu","n_nie","n_nub","np_001","np_010","np_100","np_300","nt_00","nt_30","n_tor","nv_0050","nv_0100","nv_1000","nw_55","nw_91","p_max","p_mes","p_sol","q_mar","q_max","q_med","q_min","ta_max","ta_min","ti_max","tm_max","tm_mes","tm_min","ts_10","ts_20","ts_50","ts_min","w_med","w_rec","tasa_de_paro"
2000,1,37,"SALAMANCA",2,2.5,0,2.5,0,0,0,2,0,2.5,51.33,0,-9999,79.33,4.1,6,9,16,0,3,1,16,3.67,2,0.33,0,29.33,0,0,0,0,9,0.33,0,6.07,9.4,42,1027.7,947.03,936.7,917.57,17.13,-8.1,-1.23,6.23,0.87,-4.53,-9999,-9999,-9999,0.63,6,140.67,NA
2000,1,38,"S.C. TENERIFE",0,0,0,0,0,0,0,0,0,0,120.5,1037.75,-9999,71.83,5.25,4.5,3.17,4.5,0,9.33,0.5,23.33,8.67,4.33,1.33,0.5,4,0,0,2.33,0,0.83,3.2,0,18.92,42.07,49.67,1020.58,969.55,962.72,955.23,22.33,7.93,13.35,16.75,13.98,11.2,-9999,-9999,-9999,15.3,15.4,401.5,NA
2000,1,39,"CANTABRIA",32,208.6,8.28,200.32,0,0,0,32,8.28,200.32,81,849.5,15604,71.5,3.25,10,4,1,1,8,0,17,8,5.5,0.25,0,7.5,0,0,0,0,0,1,0,9.13,25.13,35,1027.1,1033.7,1023.4,1005.3,17.13,-3.6,5.53,10.53,6.6,2.6,7.5,8.1,8.8,7.48,9,216,NA
2000,1,40,"SEGOVIA",0,0,0,0,0,0,0,0,0,0,42,361,-9999,65,6,4,7,5,0,1,4,20,5.5,2,0,0,27,0,0,0,1,2,4,0,4,9.4,63,1029,876.2,863.6,844.9,14.45,-9.7,-3.1,4.55,0.75,-3,0.8,1.3,2.7,3.35,6.5,155,NA
2000,1,41,"SEVILLA",0,0,0,0,0,0,0,0,0,0,88.5,797,-9999,71,7.75,1.5,15.5,1,0,4.5,0,14,6.33,3.67,1,0,5,0,0,0,0,0,0,0,9.9,23.67,77.5,1023.05,1026.15,1015.8,1001.65,18.97,-1.67,10.07,14.47,8.53,2.53,-9999,-9999,-9999,6.2,7.67,194.67,NA
2000,1,42,"SORIA",1,0.2,0,0.2,0,0,0,1,0,0.2,48,357,-9999,69,6.8,4,10,2,0,2,4,17,5,3,0,0,29,0,0,0,0,2,2,0,8.5,11.6,71,1026.6,910.2,899.4,882.9,16.6,-10,1,7.9,2,-3.8,1.2,1.1,2.2,0.8,3,116,NA
2000,1,43,"TARRAGONA",9,3.42,0.15,3.27,0,0,0,9,0.15,3.27,72,683.5,-9999,67.5,6.45,4.5,10,1,0,4.5,0,16.5,2.5,1.5,1,0,8,0,0,0,0,0,2,0,11.8,18.7,66.5,1024.7,1026.4,1016.95,1003.95,20.6,-2.15,7.8,13.3,7.7,2.05,-9999,-9999,-9999,7.15,9.67,212,NA
2000,1,44,"TERUEL",0,0,0,0,0,0,0,0,0,0,52.5,0,-9999,80,5.25,3.5,14,5.67,0,1.33,0.67,13.5,1.67,1.33,1,0,24,0,0,0.5,0,4,0,0,14.33,17.33,54.5,1028.3,929.75,920.9,906.1,17.88,-8.13,0.88,7.95,2.35,-3.28,1.35,1.6,2.8,2.78,3,91,NA
2000,1,45,"TOLEDO",0,0,0,0,0,0,0,0,0,0,62,316,26199,73,5.6,5,14,11,0,4,0,12,3,3,0,0,25,0,0,1,0,9,0,0,2.9,5.3,57,1026.2,974.2,963.5,945.9,16.5,-5.8,1.4,10.1,4.2,-1.8,4.8,4.5,5,3.4,7,174,NA
2000,1,46,"VALENCIA",1,0.07,0,0.07,0,0,0,1,0,0.07,88.5,378.5,27704,74.5,6.45,4,15,0.5,0,7,0,12,6.6,4.2,1.6,0,6.2,0,1.5,0,0,0.5,0,0,16.64,35.66,66.5,1024.7,1029.1,1020.2,1005.5,20.52,-1.8,8.4,13.28,7.82,2.32,-9999,-9999,-9999,6.66,5,144.75,NA
2000,1,47,"VALLADOLID",0,0,0,0,0,0,0,0,0,0,57.5,222,21734,84,5.15,6.5,9,12,0,2.5,2,15.5,4.5,3,1,0,29.5,0,0,0,0.5,8.5,1,0,11.15,16.15,53.5,1027.9,942.9,932.7,913.85,13.65,-6.1,-1.35,5.75,1.5,-2.8,0.95,1.8,3.1,0.3,6,139,NA
2000,1,48,"VIZCAYA",2,2.5,1,1.5,0,0,0,2,1,1.5,76,498,14997,74,3.1,13,2,2,0,8,0,16,5.25,3.5,0.75,0,6,0,0,0,0,1,2,0,17.85,24.58,33,1027.5,1032.8,1022.6,1005.4,17.93,-3.5,5.03,10.3,6.6,2.83,-9999,-9999,-9999,7.03,6.33,160,NA
2000,1,49,"ZAMORA",9,33.9,0,33.9,0,0,0,9,0,33.9,52,95,-9999,79.33,3.5,9,11,11,0,3,1,11,3.67,2.33,0.33,0,30,0,0,0,2,7,0,0,8.27,13.47,36,1029.25,947,936.55,917.3,14.33,-7.03,-1.23,5.73,1,-3.7,2.5,2.4,4.2,0.7,4.33,106.67,NA
2000,1,50,"ZARAGOZA",8,5.67,1.43,4.24,0,0,0,8,1.43,4.24,59.5,489.5,-9999,76.5,5.45,8,12,3.5,0,2,1,11,2.75,2,0.25,0,25.75,0,0,0,0,3,1.5,0,10,14.23,56.5,1026.85,973.65,964.05,949.2,16.2,-6.65,0.63,7.95,2.55,-2.85,5,4.9,5.6,2.38,7.2,104.67,NA
2000,2,1,"ALAVA",6,10.37,0.47,9.9,0,0,0,6,0.47,9.9,86,331,-9999,78,4.1,9,1,4,0,16,0,19,11,6,1,0,11,0,1,0,0,3,0,0,10.1,32.7,39,1029.1,976.5,967.8,961.4,19.6,-3.6,7.8,13.4,7.7,1.9,-9999,-9999,-9999,8.2,6,148,NA
2000,2,2,"ALBACETE",4,7.37,7,0.37,0,0,0,4,7,0.37,67,1105,37336,56.5,8.1,1,11,5.5,0,1,0,17,0.5,0,0,0,7,0,0,0,0,5,1,0,0.05,0.05,75,1028.5,956.2,947.45,940.95,21.15,-4.6,14.3,18.15,9.8,1.4,-9999,-9999,-9999,5,9,271,NA
2000,2,3,"ALICANTE",7,91.47,1,90.47,0,0,0,7,1,90.47,104,993,-9999,64.5,7.85,1,9,1,0,1,0,19,1.33,0,0,0,0,0,0,0,0,0.5,1.67,0,0.13,0.2,72.5,1027.5,1030.45,1020.65,1011.1,26.83,3.5,15.7,19.3,13.53,7.8,-9999,-9999,-9999,12.07,8.33,154,NA
2000,2,4,"ALMERIA",6,19.45,0,19.45,0,0,0,6,0,19.45,119,1214,40786,69,8.4,0,11,3,0,1,0,18,0,0,0,0,0,0,0,0,0,2,2,0,0,0,77,1026.8,1032.3,1024.3,1016.2,22,7.6,16.2,19.1,14.7,10.4,-9999,-9999,-9999,13,11,245,NA
2000,2,5,"AVILA",23,124.35,14.14,110.21,0,0,0,23,14.14,110.21,66,762,-9999,63,6.8,3,7,4,0,5,0,19,2,0,0,0,14,0,0,0,0,1,0,0,0.8,0.9,64,1028.3,905,898.2,893.1,17,-2.2,7.6,13.3,7.1,0.9,6.5,6.3,5.8,6.8,6,130,NA
2000,2,6,"BADAJOZ",1,0.04,0,0.04,0,0,0,1,0,0.04,108,477,-9999,74,7,6,9,11,0,1,0,14,5,1,1,0,0,0,0,0,0,6,0,0,12.05,12.65,65,1029.6,1014.6,1006,998.2,22.3,1.1,11.45,18.2,11.45,4.65,11.8,10.8,10.1,9.6,6.5,148.5,NA
2000,2,7,"ILLES BALEARS",15,5.07,4.15,0.92,0,0,0,15,4.15,0.92,101.56,868.75,33918,72.33,7.47,2.25,6.5,3.5,0,2.75,0,20.25,2.25,1.13,0,0,1.33,0,0,0,0.25,1,2.88,0.13,2.31,3.23,70,1026.73,1033.18,1023.28,1011.78,21.46,3.49,11.91,16.56,11.76,6.93,-9999,-9999,-9999,12.29,10.67,330.8,NA
2000,2,8,"BARCELONA",38,27.31,23.96,3.35,0,0,0,38,23.96,3.35,95.5,932,30921,69.5,6.7,5,3.5,3.5,0,3,0,20.5,1.67,0,0,0,0,0,0,0,0,1.5,2,0,0.5,0.77,63,1025.7,1011.6,1000.8,986.75,19.6,4.9,11.25,15.13,11.43,7.7,-9999,-9999,-9999,10.75,9.6,196.5,NA
2000,2,9,"BURGOS",32,74.61,8,66.61,0,0,0,32,8,66.61,71.67,516,-9999,68.67,4.9,8,3,2,0,9,0,18,8,2.67,0,0,11.67,0,0,0,0,0,0.33,0,3.73,10.4,46,1030.35,950.35,942.2,935.9,19.57,-4,7.67,13.57,7.53,1.43,5.8,6.1,5.4,6.6,7,162.67,NA
2000,2,10,"CACERES",45,705.67,490.55,215.12,0,0,0,45,490.55,215.12,98,716,37859,72,8,3,10,5,0,1,0,16,1.33,1,0,0,0,0,0,1,0,2,0.5,0,5.47,5.5,74,1029,989.1,982.2,975.7,20.5,2.25,12.9,17.13,11.25,5.33,12.5,11.4,10.9,10.1,6.75,161.5,NA
2000,2,11,"CADIZ",1,0.01,0,0.01,0,0,0,1,0,0.01,114.67,764.33,41658,69.67,8.7,0,15,4.33,0,0.67,0,14,0.83,0,0,0,0,0,0,0,0.67,2.67,3,0,0.07,0.1,79.67,1028.3,1034.47,1025.87,1019.7,21.4,5.63,15.6,18.67,13.48,8.25,-9999,-9999,-9999,12.72,10.67,256,NA
2000,2,12,"CASTELLON",8,20.97,1.25,19.72,0,0,0,8,1.25,19.72,114,728,-9999,73,8.4,-9999,-9999,0,0,1,0,-9999,0.67,0,0,0,1,0,0,0,0,0,3.67,0.33,0.07,0.07,78,1026,1031.1,1020.7,1011,21.23,0.87,11.57,16.4,10.9,5.3,-9999,-9999,-9999,10,9.67,232,NA
2000,2,13,"CIUDAD REAL",1,1,0,1,0,0,0,1,0,1,83,489,37552,65,7.8,0,14,3,0,1,0,15,1,1,0,0,3,0,0,0,0,3,0,0,1.7,1.7,71,1028.9,961.3,954.6,948.1,22,-0.6,13.5,17.9,10.5,3,9.2,8.8,8.7,8.2,2,41,NA
2000,2,14,"CORDOBA",0,0,0,0,0,0,0,0,0,0,96,961,-9999,63,9,1,15,2,0,1,0,13,1,0,0,0,0,0,0,0,0,2,0,0,0.2,0.2,83,1028.3,1025.8,1017.1,1010.1,22.15,1.75,14.2,18.95,11.95,4.85,-9999,-9999,-9999,8.15,5.5,133.5,NA
2000,2,15,"A CORU<U+00C3>",7,1.87,1.5,0.37,0,0,0,7,1.5,0.37,107.29,482,21061,81.43,2.93,16,1,11.67,0,20.67,0,12,18,11,1.6,0,0,0,0,0,0.33,3.33,4,0.38,15.24,57.2,27.33,1028.26,1017.49,1010.89,1001.29,17.92,3.83,9.66,13.12,10.34,7.52,10.9,10.75,10.7,11.02,11.88,308.71,NA
2000,2,16,"CUENCA",5,3.76,0.67,3.09,0,0,0,5,0.67,3.09,64,1020,-9999,58,7.9,-9999,-9999,0,0,1,0,-9999,1,1,0,0,11,0,0,-9999,-9999,-9999,0,0,1,1,73,1028.5,925.3,917.6,911.2,20.2,-3,12.3,16.1,8.3,0.4,-9999,-9999,-9999,4.4,6,119,NA
2000,2,17,"GIRONA",24,48.42,12.8,35.62,0,0,0,24,12.8,35.62,66,478,-9999,63.5,6.4,0,9,5,0,3,0,20,3,1,0,0,9,0,0,0,0,2,0.5,0,2.05,3.15,60,1025.3,933.25,922.55,910.45,17.45,-2.5,8.2,12.9,7,1.05,8.5,8,8.9,5.6,5.5,135.5,NA
2000,2,18,"GRANADA",7,33.84,0.2,33.64,0,0,0,7,0.2,33.64,73,740,43388,56.5,8.85,1,13.5,1.5,0,0,0,14.5,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,81,1028.25,961,953.95,947.1,22.37,-1.03,16.53,19.6,10.5,1.37,12.7,10.9,10.9,6.23,7,170.33,NA
2000,2,19,"GUADALAJARA",1,2,0.5,1.5,0,0,0,1,0.5,1.5,61.5,-9999,-9999,61,6.3,2,11.5,0.5,0,2,0,15.5,1,1,0,0,26,0,0,0,0,0.5,0.5,0,1.6,1.6,58,1027.4,935.35,927.85,920.95,20.5,-6.5,11.75,16.35,6.75,-2.85,-9999,-9999,-9999,2.9,4,72,NA
2000,2,20,"GUIPUZCOA",14,52.7,6.3,46.4,0,0,0,14,6.3,46.4,105,489.5,-9999,81,3,14.5,0.5,9,0,17,0,14,18.75,11.75,3.5,0.5,0,0,0,3,0,4,6.5,0.5,29.43,113.23,28.5,1028.3,1022.35,1012.15,1004.1,21.05,1.9,10.13,14.08,10.45,6.78,9.3,8.7,8.6,12.35,9.75,232.75,NA
